tactic,count
amplified sound and drums and signs on sidewalk in front of building,1
prayer vigil and open mic,1
disrupted governor's swearing-in ceremony with shouting from auditorium,1
stood near rally with flags and signs; verbal clashes with rally-goers,1
amplified sound; drum line,1
stood on roadside in snow with signs,1
noise demo; tagged building; set fire in trash can in front of building; heckled police,1
open mic,1
amplified sound; marched on sidewalks and in street,1
car caravan to indoor rally followed my march and caravan to state capitol,1
amplified sound and banners and signs on capitol steps,1
rallied in front of Geisel Library; megaphone,1
marched through streets with signs while chanting,1
megaphone; marched on sidewalks,1
megaphones; marched in street,1
stood at Sample Gates with signs and banners,1
marching bands; dance,1
speeches; music performances,1
megaphones and flags; heckled protesters; verbal clashes with protesters,1
stood outside venue for inauguration with banners and signs and megaphone; verbal clashes with counter-protesters,1
marched in street; megaphones; chanted at police; large guillotine prop; verbal clashes with counter-protester; surrounded and blocked counter-protester's path,1
stood by crowd with American flag and megaphone; verbal clashes with rally-goers,1
marched in street with banner; verbal clashes with counter-protesters; blew air horns at counter-protesters,1
stood in marchers' path; heckled marchers via megaphones,1
megaphones and banners and signs,1
organizers said attendees must dress entirely in black and encouraged creativity with funeral attire; silent march; poems; songs; speeches; carry a cardboard coffin draped in the American Flag; sit/kneel on the cold cement for 10 minutes in silence and stillness as a sit-in style protest with the intention of coordinating this closing ceremony to coincide with Trumpâs official swearing in,1
banners and flags on overpass; chalked sidewalk,1
megaphone and signs by Student Union,1
megaphones; marched in street and on sidewalks,1
amplified sound; dabke dancing,1
stage and amplified sound; marched in street,1
some wore costumes,1
stood with signs and a megphone outside Capital One Arena,1
stood outside train station with signs,1
silent march; praying; singing,1
drums and megaphones; joined MLK Day parade,1
gathered on capitol steps with megaphone and flags and signs,1
megaphones; large props; bucket drums,1
early-morning car caravan and noise demo outside Blinken's home,1
bucket drums and banners and signs inside church,1
listened to a recorded Martin Luther King speech; collaborated on a community art piece; marched with posters,1
stood on sidewalk by roadway with flags and signs and vuvuzelas,1
megaphone; bucket drums,1
festival; parade,1
rallied on capitol steps; megaphone,1
megaphones; amplified sound on city hall steps; food,1
primal scream,1
marched in streets; megaphones,1
virtual prayer circle during inauguration,1
chanted to sound of cowbells and tambourines,1
stood at intersection with megaphones and signs and flags,1
demonstrated outside the Slifka Center for Jewish Life; megaphone,1
dressed in medical scrubs; physical altercation with counter-protesters,1
rallied and picketed in front of building entrance,1
candlelight vigil,1
walkout to rally outside library,1
megaphones,1
picket outside Bobst Library; letter delivery to representative of NYU president Linda Mills,1
held signs outside American Transmission Company,1
stood on sidewalk in front of buiilding with signs and megaphone,1
gathered on capitol steps with signs and banners,1
gave speeches inside the library then marched from there to Bernstein Marcus Administration Center to hand deliver a petition of their needs to the University President,1
stood on steps with banner and poster showing fetal remains and megaphone; gave speech,1
megaphone and signs at intersection; marched in street,1
pop-up clinic at School of Medicine,1
walkout to rally at Northrop Plaza,1
attempted to lower a truck filled of feces in front of the ASPCA headquarters,1
march and chanted with signs,1
shabbat ritual and teach-in outside L3Harris,1
stood outside clinic with large posters showing graphic images of fetal remains; verbal clash and physical confrontation with counter-protesters,1
verbally confronted demonstrators; knocked over and snatched banners; physical confrontation with demonstrators,1
"wore yellow ""Keep Sundance in Utah"" stickers",1
banners and flags on overpass during local Trump visit,1
gathered inside the capitol and delivered speeches,1
vigil at Sample Gates,1
on South Lawn,1
disrupted event with verbal confrontation from audience; read a poem written by a Palestinian author,1
disrupted History of Modern Israel class with speech and flyering,1
art demonstration in Gallogly Hall: hung children's clothes from clotheslines and laid out school supplies and children's toys on blankets inside building,1
"megaphone; lead organizers decided not to march, but some rally participants chose to march autonomously, and some participants in that march tagged things along the way",1
prayer; megaphone,1
rallied on capitol steps; some entered building and disrupted legislative proceedings by shouting and chanting at lawmakers,1
walked around capitol in morning with fabric waves prop,1
silently entered the Capitol with signs and flags supporting the transgender community,1
blocked roads and painted mural in street outside capitol,1
repeatedly disrupted event by setting off fire alarms in building as it was getting ready to start; attached alarm to helium balloons and released it in event room; forced cancellation of event,1
banner drop inside Palo Duro lounge in conjuction with org fair,1
banner drop on side of building,1
wore black graduation cap and gowns,1
"protesters in nude clothing drenched in fake blood wrapped themselves in ""meat packaging"" and layed on the ground; blocked entrance of Whole Foods",1
"sang ""wheels on the bus"" song outside budget meeting",1
"rallied outside Meyer Center, then marched down Professors' Row to JCC",1
sit-in in Columbia School of Social Work,1
stood with flags and signs,1
flags and signs and megaphone on overpass,1
set up table opposite FBI table with protest signs and handed flyers and spoke to students who passed by,1
stood on steps of City Hall with signs and chanting; held press conference,1
stood at intersection with signs and flags; singing; shared food,1
orange balloons,1
amplified sound and drums outside building,1
drumming; percussion; signage,1
drum; singing,1
prayer; music; dance; performances,1
picket and letter delivery,1
verbal altercation between a scheduled and a spontaneous speekers,1
drumline; megaphone,1
sidewalks sign waving event followed by a food drive in unity with Help Over Hate:  MLK Weekend of Service,1
some sat in a coffeeshop after the march to write letters to legislators,1
music; poetry; dance,1
"march to the steps of the US District Courthouse of the Southern District of FL, where Judge Aileen Cannon dismissed Donald Trump's classified documents case",1
gathered outside prison fence; amplified sound; drums; prayer,1
one mile march followed by an advocacy expo,1
amplified sound; poetry; stood by roadside with signs and flags,1
marched to airport from South Shore train stop; attempted to hang banner from airport fence; marched back to train stop,1
speakers; musicians; food,1
march on sidewalks only,1
amplified sound; prayer,1
megaphone; singing,1
"dressed in ""The Handmaid's Tale"" costumes",1
music; concert,1
megaphone on steps of police headquarters,1
half a mile march followed by rally and sign holding; music,1
singing at the Coralville library followed by marching,1
marched on sidewalks and in streets,1
speakers; music,1
stood by shopping center with signs and flags,1
interupted State Antony Blinken's final press conference,1
grim reaper costumes and mock gravestones and signs and banners by staff entrance,1
marched around campus; disrupted Board of Trustees meeting,1
"pop-up clinic outside Wayne State School of Medicine for people ""sick from genocide""",1
qiyam,1
marched in street; amplified sound; live band,1
megaphones and signs outside building,1
standing with signs on the sidewalk due to event being unpermitted,1
speakers; music; day of action,1
sign-holding event due to event being unpermitted,1
stage and ampified sound; marched in street,1
megaphones; props and costumes,1
drum circle,1
rallied on capitol steps; podium and amplified sound; live music,1
"amplified sound; live music; some wore pink cat-eared ""pussyhats""",1
drum,1
sign-waving event,1
peacefully protest along the march route and eventually along Hwy 13 at the Pavilion,1
"interrupted the People's March speeches as she walked by and sang/shouted a rendition of ""God Bless America""; argued with some of the attendees about free speech before she was ushered away by a friend",1
two sidewalk sign-waving events (one organized by Pilgrim Place retiring community) at the intersection of Indian Hill and Foothill Boulevards,1
music; speakers,1
marched in street; rallied inside capitol rotunda; megaphones; drums,1
marched on sidewalks; orange balloons,1
sign holding event at the Airport Road intersection,1
family friendly 1-mile march,1
amplified sound and banners and signs at Panama Plaza,1
singing; music; indigenous people's dance [Aztec danzantes]; one apparent participant snatched a sign from counter-protesters; some wore 'The Handmaid's Tale' costume; some wore brown sacks,1
sign holding event at the Santa Fe Plaza,1
sign-making; speakers; resource fair,1
stood on corners of intersection and walked through intersection with signs,1
some held signs in front of counter-protesters' posters,1
stood next to rally with large posters showing photos of fetal remains,1
noise demo outside event venue,1
stood in path of marchers wearing rucksack and MAGA hat,1
"podium and sound system; marched in street; some heckled counter-protester; verbal clashes with counter-protesters; one protestor wore a balloon-like costume depicting Trump in a diaper; some protesters likely from Code Pink drove a ""Peace Tank""",1
stood on edge of crowd with large signs and banners and megaphones; verbal clashes with marchers,1
stood next to crowd with posters showing fetal remains,1
open forum rally followed by a march then service to support the Women's Shelter AVALON in Williamsburg,1
marched in street to police station; verbally confronted police,1
vigil and walk,1
sign holding event around the Billings area,1
signs and megaphone by street in front of State House,1
marched in street; car caravan; amplified sound; drums,1
megaphone; live music; dabke dancing; picnic,1
indoor rally with podium and amplified sound,1
megaphones and signs and flags,1
amplified sound; drums; music,1
stood with signs and microphone next to marchers,1
amplified sound; live music,1
repurposed large billboard overlooking expressway,1
amplified sound; marching band,1
megaphones; marched on sidewalks,1
heckled and shouted at rally-goers,1
verbal clashes with counter-protesters; drums; marched in street; colored smoke,1
speeches; music,1
marched to rally on capitol steps; amplified sound,1
sign holding and march down to 72nd Street,1
family-friendly march,1
"occupy the courthouse with speakerphones, signs, and banners; march with multiple stops to engage residents",1
"walking along Cherokee Street's Antique Row to support women's owned business followed by speakers, stories, and music",1
megaphone; music band; dabke dancing,1
singing,1
rally followed by a sidewalk march,1
verbal clashes and pushing with counter-protesters,1
megaphones; posters with graphic images of fetal remains; verbal clashes and pushing with rally-goers,1
megaphones; marched in streets and on sidewalks,1
megaphones and signs and flags and drums on roadside in front of L3Harris offices,1
open mic; panel of experts; Q&A session,1
amplified sound; marched in street,1
"Free Shopping With No Money Spent Towards The ""Fascist Coptoracy Oligarchroentric System""",1
