claim,Gaza,Gun Control,Racial Justice,Abortion,Immigration,Healthcare,Workers,Environment,Trump,LGBTplus,Musk
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against racism,0.0,,1.0,,,,,,,,
against police brutality,0.0,,1.0,,,,,,,,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,
for workers' rights,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,
for abortion rights,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,
for trans rights,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,
for immigrants' rights,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,
for global solidarity,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,
for Palestinian liberation,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,
against genocide,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,
against deportations of migrants,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,
for housing and health care and union jobs for all,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,
for democracy,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,
for people over profit,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,
for ending Act 10,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for remembering the animals in unsanitary conditions at Marlin Animal Center,0.0,,,,,,,,,,
for justice for the Marlin dogs,0.0,,,,,,,,,,
against animal abuse,0.0,,,,,,,,,,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for freedom,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against Donald Trump,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for women's rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for reproductive rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for LGBTQ+ rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for immigrants' rights,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for climate action,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
for fair wages,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
against gun violence,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,
